Drug_A,Drug_B,Level
Alemtuzumab,Deferiprone,Major
Erythromycin,Fluphenazine,No Interaction
Iodide I-131,Phenyl salicylate,Moderate
Naloxone,Naloxegol,Moderate
Formoterol,Praziquantel,No Interaction
Burosumab,Penicillamine,No Interaction
Ivabradine,Rimegepant,No Interaction
Oxytetracycline,Prednisolone,Unknown
Ponatinib,Strontium chloride Sr-89,Moderate
Ethanol,Levodopa,Moderate
Palifermin,Doxorubicin,Moderate
Telaprevir,Vibrio cholerae CVD 103-HgR strain live antigen,No Interaction
Clostridium tetani toxoid antigen (formaldehyde inactivated),Ticlopidine,No Interaction
Tolbutamide,Teprotumumab,Moderate
Enoxacin,Isometheptene,No Interaction
Phenobarbital,Macimorelin,Moderate
Efalizumab,Isoxsuprine,No Interaction
Leucovorin,Metoclopramide,Unknown
Budesonide,Ritonavir,No Interaction
Benzthiazide,Medroxyprogesterone acetate,No Interaction
Promethazine,Umeclidinium,Moderate
Diazoxide,Hepatitis B Vaccine (Recombinant),No Interaction
Lanthanum carbonate,Omadacycline,Moderate
Isosorbide dinitrate,Tinidazole,No Interaction
Tolbutamide,Mecasermin rinfabate,Moderate
Propranolol,Ioxilan,Moderate
Homatropine (ophthalmic),Tranylcypromine,No Interaction
Sulindac,Ioxilan,Major
Abametapir (topical),Propylhexedrine (nasal),No Interaction
Brentuximab vedotin,Sargramostim,No Interaction
Cyproheptadine,Metyrapone,Moderate
Cisplatin,Iothalamic acid,Major
Nitroglycerin,Tapentadol,No Interaction
Edrophonium,Insulin lispro (protamine),No Interaction
Amrinone,Codeine,No Interaction
Meloxicam,Typhoid vaccine (inactivated),No Interaction
Macimorelin,Somapacitan,Moderate
Diphenhydramine,Selumetinib,No Interaction
Trimethadione,Promethazine,Moderate
Palifermin,Iobenguane (I-131),Moderate
Leucovorin,Chlorhexidine,Unknown
Glimepiride,Magnesium carbonate,Moderate
Etanercept,Deferiprone,Major
Chlorhexidine,Promethazine,Unknown
Orciprenaline,Pirfenidone,No Interaction
Bifidobacterium longum infantis,Cytarabine,No Interaction
Brimonidine (ophthalmic),Amyl Nitrite,Moderate
Lusutrombopag,Ubrogepant,No Interaction
Tositumomab (I-131),Fedratinib,Major
Mitomycin,Samarium (153Sm) lexidronam,Major
Midazolam,Niraparib,No Interaction
Phentolamine,Nefazodone,Moderate
Potassium Iodide,Vitamin E,No Interaction
Berotralstat,Vinblastine,No Interaction
Cephalexin,Acetylcysteine,Unknown
Econazole,Pilocarpine (ophthalmic),No Interaction
Betaxolol (ophthalmic),Human papillomavirus type 11 L1 capsid protein antigen,No Interaction
Abemaciclib,Phenylbutyric acid,No Interaction
Caspofungin,Lactic acid,No Interaction
Phenytoin,Deferasirox,Moderate
Acenocoumarol,Nizatidine,No Interaction
Disopyramide,Sevelamer,Unknown
Lidocaine (ophthalmic),Ofloxacin,No Interaction
Promethazine,Tapentadol,Moderate
Magnesium chloride,Upadacitinib,No Interaction
Lansoprazole,Iopromide,Unknown
Amikacin (liposome),Pramlintide,No Interaction
Pyrimethamine,Leucovorin,Unknown
Benzphetamine,Vandetanib,No Interaction
Etomidate,Voriconazole,No Interaction
Dexmedetomidine,Rubella virus vaccine,No Interaction
Fenoprofen,Prednisolone,Moderate
Tositumomab,Antithrombin Alfa,Major
Cidofovir,Muromonab,No Interaction
Leucovorin,Glucarpidase,Moderate
Bedaquiline,Rimegepant,No Interaction
Promethazine,Nifedipine,Moderate
Esmolol,Gadoteric acid,Moderate
Aluminum hydroxide,Doxylamine,No Interaction
Cinoxacin,Triamcinolone (ophthalmic),No Interaction
Sirolimus,Deferasirox,Major
Selenium Sulfide,Triethylenetetramine,No Interaction
Samarium (153Sm) lexidronam,Blinatumomab,Major
Atropine (ophthalmic),Metronidazole,No Interaction
Indacaterol,Methylergometrine,No Interaction
Phenylbutazone,Poliovirus type 1 antigen (formaldehyde inactivated),No Interaction
Atorvastatin,Reserpine,No Interaction
Betamethasone (topical),Leuprolide,No Interaction
Carisoprodol,Phentolamine,Moderate
Amifampridine,Nafcillin,No Interaction
Etanercept,Metamfetamine,No Interaction
Tolbutamide,Metamfetamine,Moderate
Astemizole,Iodide I-131,Moderate
Edrophonium,Neostigmine,Moderate
Entrectinib,Nitrous acid,No Interaction
Gadopentetic acid,Levobetaxolol (ophthalmic),Moderate
Methscopolamine,Vinblastine,No Interaction
Iopamidol,Tyropanoic acid,Moderate
Sevelamer,Mannitol,Unknown
Ambrisentan,Pirfenidone,No Interaction
Doxorubicin,Strontium chloride Sr-89,Moderate
Epinephrine,Tolbutamide,Moderate
Osilodrostat,Macimorelin,Major
Erdafitinib,Imipenem,No Interaction
Ranitidine,Galactose,Unknown
Chlordiazepoxide,Promethazine,Moderate
Capecitabine,Givosiran,No Interaction
Oxymetazoline (ophthalmic),Vinblastine,No Interaction
Alfentanil,Deferasirox,Moderate
Naproxen,Ioversol,Major
Obinutuzumab,Pexidartinib,No Interaction
Aflibercept,Ifosfamide,No Interaction
Omadacycline,Strontium chloride Sr-89,No Interaction
Doxycycline,Mannitol,Minor
Salsalate,Tolterodine,No Interaction
Samarium (153Sm) lexidronam,Tofacitinib,Major
Lacosamide,Meropenem,No Interaction
Palifermin,Inotuzumab ozogamicin,Moderate
Calcium acetate,Nebivolol,Moderate
Ethambutol,Nitrazepam,No Interaction
Nicardipine,Amifostine,Moderate
Diatrizoate,Nifedipine,Moderate
Misoprostol,Penbutolol,No Interaction
Cisplatin,Sildenafil,No Interaction
Metoprolol,Naloxone,Unknown
Naltrexone,Prednisolone,Unknown
Decitabine,Lesinurad,No Interaction
Ivacaftor,Peginterferon alfa-2a,No Interaction
Sugammadex,Norelgestromin,Major
Phenoxybenzamine,Amifostine,Moderate
Amikacin,Tetracaine (ophthalmic),No Interaction
Alendronic acid,Iopromide,Unknown
Avatrombopag,Linagliptin,No Interaction
Nabumetone,Tolbutamide,Moderate
Hydroxyurea,Methsuximide,No Interaction
Acyclovir,Ioxilan,Major
Cabotegravir,Natalizumab,No Interaction
Ertugliflozin,Racepinephrine,No Interaction
Tacrolimus,Cobicistat,Major
Tositumomab (I-131),Zanubrutinib,Major
Flurandrenolide (topical),Penicillamine,No Interaction
Enfortumab vedotin,Inotersen,No Interaction
Strontium chloride Sr-89,Tafasitamab,Moderate
Diatrizoate,Foscarnet,Major
Bacampicillin,Dapagliflozin,No Interaction
Adalimumab,Exenatide,No Interaction
Calcium chloride,Norelgestromin,No Interaction
Diethylpropion,Methyl aminolevulinate (topical),No Interaction
Atenolol,Gadobutrol,Moderate
Ethanol,Oxymorphone,Moderate
Bisoprolol,Brigatinib,No Interaction
Promethazine,Isocarboxazid,Moderate
Ibritumomab tiuxetan,Human papillomavirus type 11 L1 capsid protein antigen,Moderate
Vancomycin,Gadoversetamide,Unknown
Magaldrate,Obinutuzumab,No Interaction
Halofantrine,Olanzapine,No Interaction
Ibutilide,Iodipamide,Moderate
Meclofenamic acid,Macimorelin,Moderate
Furosemide,Iodixanol,Moderate
Diazoxide,Doxepin (topical),Moderate
Dofetilide,Cobicistat,Moderate
Dapsone,Deferiprone,Major
Phenylephrine (nasal),Methylene blue,Moderate
Levmetamfetamine (nasal),Pimavanserin,No Interaction
Anagrelide,Omeprazole,No Interaction
Ioxilan,Pioglitazone,No Interaction
Cobicistat,Ribociclib,Major
Ciclopirox,Cyclobenzaprine,No Interaction
Dexlansoprazole,Nateglinide,No Interaction
Lepirudin,Pamidronic acid,No Interaction
Dexamethasone (topical),Niacin,No Interaction
Etoposide,Deferiprone,Major
Prednisolone,Apalutamide,Moderate
Natalizumab,Iobenguane (I-131),Major
Physostigmine,Amifampridine,Moderate
Avanafil,Tolvaptan,No Interaction
Cromoglicic acid,Dienestrol (topical),No Interaction
Magnesium sulfate,Clevidipine,Moderate
Lidocaine (ophthalmic),Amyl Nitrite,Moderate
Acetylcholine,Caplacizumab,No Interaction
Vancomycin,Iopamidol,Major
Dacomitinib,Sotalol,No Interaction
Talazoparib,Vorinostat,No Interaction
Nalidixic acid,Pazopanib,No Interaction
Phenylpropanolamine,Teniposide,No Interaction
Levocetirizine,Teniposide,No Interaction
Anthrax vaccine,Nortriptyline,No Interaction
Bendamustine,Cisatracurium,No Interaction
Prednisolone,Durvalumab,Moderate
Palonosetron,Methylene blue,Major
Clofedanol,Paraldehyde,No Interaction
Nabumetone,Iodixanol,Major
Magnesium sulfate,Raltegravir,Moderate
Quinidine,Physostigmine,Moderate
Dipyridamole,Meclizine,No Interaction
Calcium acetate,Gatifloxacin,Moderate
Tositumomab,Teriflunomide,Major
Dofetilide,Iohexol,Moderate
Midazolam,Sacituzumab govitecan,No Interaction
Candida albicans,Etonogestrel,No Interaction
Dalfopristin,Hepatitis B Vaccine (Recombinant),No Interaction
Cocaine (topical),Prednisone,No Interaction
Leucovorin,Sulfasalazine,Minor
Botulinum Toxin Type B,Dicyclomine,No Interaction
Candida albicans,Piperazine,No Interaction
Calcifediol,Lisinopril,No Interaction
Amoxapine,Ioflupane I-123,Moderate
Betamethasone (topical),Sulfadoxine,No Interaction
Eszopiclone,Hyaluronidase,No Interaction
Paraldehyde,Tolazoline,No Interaction
Foscarnet,Iopamidol,Major
Guanabenz,Nitrous acid,Moderate
Clozapine,Strontium chloride Sr-89,Major
Gadobenic acid,Metipranolol (ophthalmic),Moderate
Anistreplase,Metaraminol,No Interaction
Attapulgite,Salicylic acid (sodium),No Interaction
Esmolol,Romosozumab,No Interaction
Troglitazone,Promethazine,Moderate
Nizatidine,Prednisolone,Unknown
Fluconazole,Sevelamer,Unknown
Pindolol,Iopanoic acid,Moderate
Gemifloxacin,Norethisterone,No Interaction
Dienogest,Doxapram,No Interaction
Alprazolam,Iodide I-131,Moderate
Ibritumomab tiuxetan,Nabumetone,Major
Arbutamine,Enoxaparin,No Interaction
Alosetron,Iron Dextran,No Interaction
Methotrimeprazine,Cobicistat,Moderate
Tolbutamide,Canagliflozin,Moderate
Tositumomab (I-131),Binimetinib,Major
Droperidol,Cobicistat,Moderate
Griseofulvin,Ixazomib,No Interaction
Cerivastatin,Trifluridine,No Interaction
Flurandrenolide (topical),Tasimelteon,No Interaction
Tositumomab (I-131),Clozapine,Major
Acalabrutinib,Magnesium gluconate,No Interaction
Pyrimethamine,Thiopental,No Interaction
Capreomycin,Risperidone,No Interaction
Ginkgo biloba,Neratinib,No Interaction
Levothyroxine,Norelgestromin,No Interaction
Benzocaine (topical),Amyl Nitrite,Moderate
Cefuroxime,Metamfetamine,No Interaction
Tirofiban,Zinc acetate,No Interaction
Metoclopramide,St. John's Wort,No Interaction
Prednisone,Iodixanol,Unknown
Ibandronate,Iron sucrose,Moderate
Racepinephrine,Trifluridine,No Interaction
Gadoxetic acid,Prasugrel,No Interaction
Piperacillin,Pseudoephedrine,No Interaction
Azathioprine,Chloramphenicol (ophthalmic),No Interaction
Promazine,Iohexol,Major
"Sodium phosphate, monobasic (p32)",Upadacitinib,No Interaction
Eslicarbazepine,Metaraminol,No Interaction
Measles virus vaccine live attenuated,Meropenem,No Interaction
Indinavir,Tolbutamide,Moderate
Trifluoperazine,Ethanol,Moderate
Dihydrotachysterol,Sodium iodide,No Interaction
Chlorcyclizine,Proguanil,No Interaction
Doxorubicin (liposomal),Pentoxifylline,No Interaction
Milnacipran,Methylene blue,Major
Leflunomide,Deferasirox,Major
Gadoteric acid,Milk thistle,No Interaction
Dexamethasone (nasal),Levobunolol (ophthalmic),No Interaction
Deferiprone,Calcium lactate,Moderate
Daratumumab,Patiromer,No Interaction
Chloroquine,Promethazine,Major
Amifostine,Theophylline,No Interaction
Piperazine,Iodide I-123,Moderate
Acetylsalicylic acid,Cannabidiol,No Interaction
Tositumomab,Diroximel fumarate,Moderate
Edetate calcium disodium anhydrous,Mefloquine,No Interaction
Sermorelin,Lixisenatide,Moderate
Phenolphthalein,Rilonacept,No Interaction
Primaquine,Nitrous acid,Major
Tobramycin,Iodixanol,Major
Colchicine,Deferiprone,Major
Physostigmine (ophthalmic),Molindone,Moderate
Cobicistat,Troleandomycin,Moderate
Dezocine,"Insulin human (inhalation, rapid acting)",No Interaction
Norfloxacin,Tetraferric tricitrate decahydrate,Moderate
Mifepristone,Promethazine,Major
Mecamylamine,Topotecan,No Interaction
Adefovir dipivoxil,Rabeprazole,No Interaction
Naloxegol,Naphazoline (nasal),No Interaction
Promethazine,Eribulin,Moderate
Calcitriol,Gadoversetamide,Unknown
Sodium iodide,Zidovudine,No Interaction
Cetirizine,Promethazine,Moderate
Desloratadine,Iodide I-123,Moderate
Tositumomab (I-131),Canakinumab,Moderate
Oxaprozin,Iopamidol,Major
Naphazoline (ophthalmic),Rasagiline,No Interaction
Folic acid,Voriconazole,Unknown
Palifermin,Daunorubicin,Moderate
Desonide (topical),Mifepristone,No Interaction
Chlordiazepoxide,Opicapone,No Interaction
Rosiglitazone,Deferasirox,Moderate
Diamorphine,Methylene blue,Major
Osilodrostat,Telotristat ethyl,No Interaction
Dichloralphenazone,Dicyclomine,No Interaction
Ganciclovir,Methohexital,No Interaction
Epirubicin,Promethazine,Moderate
Atorvastatin,Hydrocortisone (topical),No Interaction
Levodopa,Vancomycin,No Interaction
Ibritumomab tiuxetan,Dimethyl fumarate,Moderate
Metaraminol,Voxilaprevir,No Interaction
Liotrix,Tetraferric tricitrate decahydrate,Moderate
Interferon alfa-2b,Oxitriptan,No Interaction
Ethanol,Trichlormethiazide,Moderate
Tipranavir,Deferasirox,Moderate
Enoxaparin,Fludrocortisone,No Interaction
Magnesium sulfate,Pimecrolimus,No Interaction
Amyl Nitrite,Lumateperone,Moderate
Betaxolol,Gadoteric acid,Moderate
Leucovorin,Gemfibrozil,Unknown
Fludeoxyglucose (18F),Microcrystalline cellulose,Moderate
Artesunate,Atorvastatin,No Interaction
Amifostine,Paclitaxel,Unknown
Desonide (topical),Neratinib,No Interaction
Diclofenac,Macimorelin,Moderate
Phentolamine,Maraviroc,Moderate
Doxorubicin,Ozanimod,No Interaction
Dexamethasone (ophthalmic),Doxapram,No Interaction
Bromfenac,Nafcillin,No Interaction
Pioglitazone,Pralsetinib,No Interaction
Cyclophosphamide,Deferoxamine,Unknown
Ferumoxsil,Phenylephrine (ophthalmic),No Interaction
Prednisolone,Repaglinide,Moderate
Folic acid,Nifedipine,Unknown
Atovaquone,Cyproheptadine,No Interaction
Abarelix,Terfenadine,No Interaction
Eptifibatide,Insulin detemir,No Interaction
Iron Dextran,Revefenacin,No Interaction
Prednisolone,Ocrelizumab,Moderate
Famotidine,Iopamidol,Unknown
Fluticasone (topical),Propranolol,No Interaction
Isoniazid,Vitamin E,No Interaction
Indapamide,Promethazine,Moderate
Tositumomab,Leflunomide,Major
Estrone,Tolbutamide,Moderate
Nitrofurantoin,Sodium aurothiomalate,No Interaction
Prednisolone,Terbutaline,Minor
Durvalumab,Methylnaltrexone,No Interaction
Clarithromycin,Acetylcysteine,Unknown
Axitinib,Istradefylline,No Interaction
Valaciclovir,Promethazine,Unknown
Metipranolol (ophthalmic),Gadofosveset trisodium,Moderate
Aluminum hydroxide,Levomilnacipran,No Interaction
Metreleptin,Sipuleucel-T,No Interaction
Pimecrolimus,Propylthiouracil,No Interaction
Atropine (ophthalmic),Telithromycin,No Interaction
Promazine,Magnesium carbonate,Minor
Carbamazepine,Deferasirox,Moderate
Filgrastim,Levamlodipine,No Interaction
Morphine (liposomal),Plazomicin,No Interaction
Doxepin,Exemestane,No Interaction
Risperidone,Acetylcysteine,Unknown
Hyaluronidase,Nisoldipine,No Interaction
Methotrimeprazine,Magnesium carbonate,Minor
Human cytomegalovirus immune globulin,St. John's Wort,No Interaction
Prednisolone,Iopamidol,Major
Insulin human (zinc),Ethanol,Moderate
Etanercept,Thiotepa,No Interaction
Eprosartan,Mecasermin rinfabate,No Interaction
Indapamide,Prednisolone,Moderate
Doxepin,Iobenguane (I-123),Moderate
Levonorgestrel,Tolbutamide,Moderate
Alogliptin,Troleandomycin,No Interaction
Lansoprazole,Deferoxamine,Unknown
Prednisolone,Magaldrate,Minor
Atovaquone,Lurasidone,No Interaction
Sulfadoxine,Iodide I-123,Moderate
Norfloxacin,Promethazine,Moderate
Mesalazine,Iodixanol,Major
Altretamine,Ephedrine (nasal),No Interaction
Hydromorphone,Selenium Sulfide,No Interaction
Sevelamer,Acebutolol,Unknown
Oliceridine,Pantoprazole,No Interaction
Methylergometrine,Trazodone,No Interaction
Folic acid,Nitroglycerin,Unknown
Erythromycin,Cobicistat,Major
Nafcillin,Iodide I-131,Moderate
Boceprevir,Tetracaine,No Interaction
Atazanavir,Yellow Fever Vaccine,No Interaction
Dicoumarol,Prednisolone,Moderate
Deferiprone,Calcium glycerophosphate,Moderate
Amoxapine,Flumazenil,Major
Filgrastim,Iobenguane (I-131),Moderate
Inulin,Metyrapone,No Interaction
Hydroxocobalamin,Prednisolone,Unknown
Floxuridine,Methylphenobarbital,No Interaction
Infliximab,Deferiprone,Major
Secobarbital,Methylene blue,Moderate
Relugolix,Streptozocin,No Interaction
Oxytetracycline,Iron sucrose,Moderate
Ramucirumab,Vorinostat,No Interaction
Iron,Methoxsalen,No Interaction
Indium In-111 pentetate,Tolazamide,No Interaction
Amiloride,Amisulpride,No Interaction
Sevelamer,Captopril,Unknown
Benzylpenicillin (sodium),Pitolisant,No Interaction
Amitriptyline,Iopamidol,Major
Levobunolol (ophthalmic),Pseudoephedrine,No Interaction
Methylphenidate,Iobenguane (I-131),Major
Atropine,Physostigmine (ophthalmic),Moderate
Bisoprolol,Lanthanum carbonate,Moderate
Droxidopa,Methylene blue,Moderate
Zonisamide,Promethazine,Major
Deferasirox,Olaparib,Moderate
Diazoxide,Alogliptin,Moderate
Physostigmine,Mepenzolate,Moderate
Prednisone,Sevelamer,Unknown
Sumatriptan,Telaprevir,No Interaction
Folic acid,Norfloxacin,Unknown
Trastuzumab emtansine,Vilazodone,No Interaction
Cisplatin,Iohexol,Major
Carteolol (ophthalmic),Hydroxychloroquine,No Interaction
Fludeoxyglucose (18F),Verteporfin,No Interaction
Cefazolin,Glycopyrronium (topical),No Interaction
Iodide I-123,Betrixaban,Moderate
Flurazepam,Meloxicam,No Interaction
Mannitol,Sibutramine,Moderate
Chloroquine,Iodide I-123,Moderate
Ibuprofen,Rasburicase,No Interaction
Indomethacin,Ioxilan,Major
Naratriptan,Toremifene,No Interaction
Ketorolac,Ethanol,Moderate
"Interferon alfa-2a, Recombinant",Samarium (153Sm) lexidronam,Major
Magnesium sulfate,Trovafloxacin,Moderate
Clofazimine,Tafasitamab,No Interaction
Rufinamide,Tafasitamab,No Interaction
Fluphenazine,Iobenguane (I-123),Moderate
Lenalidomide,Rimegepant,No Interaction
Etelcalcetide,Norethisterone,No Interaction
Mazindol,Ethanol,Moderate
Nesiritide,Zanubrutinib,No Interaction
Aminosalicylic acid,Dacomitinib,No Interaction
Prednisolone,Linagliptin,Moderate
Axicabtagene ciloleucel,Epirubicin,No Interaction
Progesterone (topical),Propiomazine,No Interaction
Ibuprofen,Stavudine,No Interaction
Licorice,Pegaspargase,No Interaction
Acitretin,Dolasetron,No Interaction
Diclofenac,Ranitidine,No Interaction
Iodipamide,Lithium carbonate,Major
Azathioprine,Flucytosine,No Interaction
Penicillamine,Iopromide,Major
Ampicillin,Panobinostat,No Interaction
Plazomicin,Saxagliptin,No Interaction
Gemifloxacin,Ofatumumab,No Interaction
Nitrofurantoin,Tiotropium,No Interaction
Isosorbide mononitrate,Secretin human,No Interaction
Caspofungin,Tetracaine,No Interaction
Ipilimumab,Ticlopidine,No Interaction
Hydrocortisone,Promethazine,Unknown
Diamorphine,Amyl Nitrite,Moderate
Haloperidol,Promethazine,Major
Alprostadil,Fosphenytoin,No Interaction
Oxandrolone,Promethazine,Unknown
Ibritumomab tiuxetan,Heparin,Major
Netilmicin,Ioversol,Major
Belatacept,Perflutren,No Interaction
Prednisolone,Clonazepam,Unknown
Amlodipine,Gadoxetic acid,Moderate
Guanfacine,Nitrous acid,Moderate
Pamidronic acid,Iohexol,Major
Vancomycin,Prednisolone,Unknown
Benzthiazide,Tolbutamide,Moderate
Cyclophosphamide,Deferiprone,Major
Aldesleukin,Sorbitol,No Interaction
Chlorothiazide,Cyclandelate,No Interaction
Afatinib,Antithrombin III human,No Interaction
Binimetinib,Isometheptene,No Interaction
Propranolol,Iopamidol,Moderate
Pyrazinamide,Solifenacin,No Interaction
Disopyramide,Ioxilan,Moderate
Dexamethasone,Interferon beta-1b,No Interaction
Digoxin,Deferoxamine,Unknown
Methenamine,Vancomycin,No Interaction
Betaxolol,Iodixanol,Moderate
Naloxone,Oxymorphone,Moderate
Isoprenaline,Methylene blue,Moderate
Fondaparinux,Zaleplon,No Interaction
Molindone,Ioflupane I-123,Moderate
Bedaquiline,Troleandomycin,No Interaction
Calcium chloride,Plazomicin,No Interaction
Tolevamer,Amisulpride,Moderate
Colistimethate,Iodixanol,Major
Palifermin,Cyclophosphamide,Moderate
Adenosine,Promethazine,Moderate
Eltrombopag,Teprotumumab,No Interaction
Doxazosin,Sodium aurothiomalate,No Interaction
Enoxacin,Lesinurad,No Interaction
Garlic,Propylhexedrine (nasal),No Interaction
Lofexidine,Tetrabenazine,No Interaction
Gadobutrol,Muromonab,No Interaction
Amyl Nitrite,Tetracaine (ophthalmic),Moderate
Hexaminolevulinate,Streptozocin,No Interaction
Folic acid,Bupropion,Unknown
Amyl Nitrite,Licorice,Moderate
Levothyroxine,Iodixanol,Unknown
Empagliflozin,Nitrous acid,Moderate
Hydroxyzine,Histamine,Moderate
Folic acid,Phenobarbital,Moderate
Enfuvirtide,Methadone,No Interaction
Dantrolene,Tegaserod,No Interaction
Chlorpromazine,Glucarpidase,No Interaction
Demeclocycline,Magnesium sulfate,Moderate
Diazepam,Oxygen,No Interaction
Acetazolamide,Indium In-111 pentetate,Moderate
Clotrimazole,Idelalisib,No Interaction
Penicillamine,Phenyl salicylate,No Interaction
Iodipamide,Typhoid vaccine (inactivated),No Interaction
Diethylpropion,Iopamidol,Major
Folic acid,Nystatin,Unknown
Deferasirox,Troleandomycin,Moderate
Vitamin A,Methotrexate,Unknown
Irinotecan (liposomal),Pimecrolimus (topical),No Interaction
Naldemedine,Telithromycin,No Interaction
Etoposide,Larotrectinib,No Interaction
Diclofenac (topical),Lenalidomide,No Interaction
Garlic,Insulin human (zinc),No Interaction
Valdecoxib,Iothalamic acid,Major
Baclofen,Telbivudine,No Interaction
Frangula purshiana bark,Gadoxetic acid,No Interaction
Daclatasvir,Succinylcholine,No Interaction
Dacomitinib,Rotavirus vaccine,No Interaction
Dextropropoxyphene,Methylene blue,Major
Sorafenib,Deferasirox,Moderate
Oxtriphylline,Deferasirox,Major
Ethambutol,Fluorouracil,No Interaction
Buprenorphine,Tetraferric tricitrate decahydrate,No Interaction
Tositumomab (I-131),Citalopram,Moderate
Tositumomab (I-131),Coccidioides immitis spherule,Moderate
Atropine,Pralidoxime,Minor
Chlorthalidone,Iodipamide,Moderate
Deferiprone,Baricitinib,Major
Leucovorin,Clindamycin,Unknown
Asparaginase Erwinia chrysanthemi,Phentolamine,No Interaction
Bismuth subsalicylate,Eslicarbazepine,No Interaction
St. John's Wort,Iobenguane (I-123),Moderate
Diatrizoate,Methotrexate,Major
Flurbiprofen (ophthalmic),Tolevamer,No Interaction
Moxifloxacin,Macimorelin,Major
Ibrutinib,Lacosamide,No Interaction
Lisinopril,Prednisolone,Moderate
Apraclonidine,Secnidazole,No Interaction
Cinacalcet,Estazolam,No Interaction
Pantoprazole,Pioglitazone,No Interaction
Galantamine,Paricalcitol,No Interaction
Phenytoin,Acetylcysteine,Unknown
Diazoxide,Amifostine,Moderate
Promethazine,Azilsartan medoxomil,Moderate
Sargramostim,Sulfinpyrazone,No Interaction
Modafinil,Macimorelin,Moderate
Alemtuzumab,Samarium (153Sm) lexidronam,Major
Drotrecogin alfa,Ibritumomab tiuxetan,Major
Ethanol,Pramlintide,Moderate
Triamcinolone,Prednisolone,Unknown
Gadoversetamide,gamma-Aminobutyric acid,No Interaction
Abarelix,Potassium chloride,No Interaction
Aminophylline,Olmesartan,No Interaction
Tofacitinib,Strontium chloride Sr-89,Moderate
Propantheline,Tolazoline,No Interaction
Cefaclor,Promethazine,Unknown
Clotrimazole,Minoxidil (topical),No Interaction
Chloramphenicol,Phenylbutyric acid,No Interaction
Methylphenidate,Methylene blue,Major
Midazolam,Tafasitamab,No Interaction
Calcium lactate,Rosuvastatin,No Interaction
Bacillus calmette-guerin substrain tice live antigen,Dasatinib,No Interaction
Sodium sulfate,Macimorelin,Moderate
Olsalazine,Iobenguane (I-131),Moderate
Nateglinide,Promethazine,Moderate
Tipranavir,Cobicistat,Moderate
Diflorasone (topical),Imipenem,No Interaction
Diethylpropion,Sunitinib,No Interaction
Ergoloid mesylate,Vitamin E,No Interaction
Fosphenytoin,Cobicistat,Major
Dacarbazine,Deferiprone,Major
Doxylamine,Lesinurad,No Interaction
Mexiletine,Sevelamer,Unknown
Prednisolone,Ibuprofen,Moderate
Sorbitol,Sulfasalazine,No Interaction
Cefamandole,Tyropanoic acid,No Interaction
Cobicistat,Eravacycline,Minor
Clopidogrel,Iopamidol,Unknown
Porfimer sodium,Sulfisoxazole,No Interaction
Methotrexate,Acetylcysteine,Unknown
Baclofen,Orlistat,No Interaction
Nystatin,Prednisolone,Unknown
Liothyronine,Lanthanum carbonate,Moderate
Alfuzosin,Diatrizoate,No Interaction
Frovatriptan,Imipenem,No Interaction
Calcitriol,Ramelteon,No Interaction
Protriptyline,Trovafloxacin,No Interaction
Mannitol,Glycerin,Moderate
Cefadroxil,Drospirenone,No Interaction
Fludrocortisone,Phenelzine,No Interaction
Lisinopril,Iopromide,Unknown
Sermorelin,Sulindac,No Interaction
Ketoconazole,Sodium zirconium cyclosilicate,Moderate
Labetalol,Iodipamide,Moderate
Tositumomab (I-131),Enoxaparin,Major
Brinzolamide,Stanozolol,No Interaction
Penbutolol,Lanthanum carbonate,Moderate
Ambrisentan,Oxamniquine,No Interaction
Vitamin A,Potassium chloride,Unknown
Cabozantinib,Inotersen,No Interaction
Mesalazine,Deferasirox,Major
Isotretinoin,Penbutolol,No Interaction
Amcinonide,Amyl Nitrite,No Interaction
Atenolol,Physostigmine,Moderate
Prednisolone,Chlorhexidine,Unknown
Eletriptan,Meclofenamic acid,No Interaction
Ceritinib,Niacin,No Interaction
Arbutamine,Clemastine,No Interaction
Prochlorperazine,Cobicistat,Moderate
Diatrizoate,Acyclovir,Major
Deferiprone,Belantamab mafodotin,Major
Levodopa,Tafamidis,No Interaction
Esterified estrogens,Tyropanoic acid,No Interaction
Phentolamine,Orphenadrine,Moderate
Remifentanil,Promethazine,Moderate
Betrixaban,Methylnaltrexone,No Interaction
Olsalazine,Rofecoxib,No Interaction
Nalidixic acid,Panobinostat,No Interaction
Carisoprodol,Amyl Nitrite,Moderate
Prednisolone,Ursodeoxycholic acid,Unknown
Anisindione,Levodopa,No Interaction
Neratinib,Thyrotropin alfa,No Interaction
Tramadol,Methylene blue,Major
Risperidone,Galactose,Unknown
Tizanidine,Promethazine,Moderate
Sorafenib,Tositumomab,No Interaction
Flurazepam,Modafinil,No Interaction
Fenfluramine,Iobenguane (I-123),Moderate
Calcium gluconate,Sodium bicarbonate,No Interaction
"Sodium phosphate, monobasic (p32)",Trimethoprim,No Interaction
Toremifene,Deferasirox,Moderate
Carisoprodol,Ethanol,Moderate
Glimepiride,Liothyronine,No Interaction
Tromethamine,Valerian,No Interaction
Clobetasol (topical),Deserpidine,No Interaction
Nevirapine,Macimorelin,Moderate
Deferasirox,Capmatinib,Moderate
Saquinavir,Cobicistat,Moderate
Sevelamer,Isosorbide dinitrate,Unknown
Pimozide,Iohexol,Major
Iodipamide,Iobenguane (I-131),Major
